seed = 955873387892604119

======================================================================
Testing Stage 4 W=28 (Stage 3 W=34)
======================================================================
Starting MMA Modeling Verification (10000 iterations)...
Test 140/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 141/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 142/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 143/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 144/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 145/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 146/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 147/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 148/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 149/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 150/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 151/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 152/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 153/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 154/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 155/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 156/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 157/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 158/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 159/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 160/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 161/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 162/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 163/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 164/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 165/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 166/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 167/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 168/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 169/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 170/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 171/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 172/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 173/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 174/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 175/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 176/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 177/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 178/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 179/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 180/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 181/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 182/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 183/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 184/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 185/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 186/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 187/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 188/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 189/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 190/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 191/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 192/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 193/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 194/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 195/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 196/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 197/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 198/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 199/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 200/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 201/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 202/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 203/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 204/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 205/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 206/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 207/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 208/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 209/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 210/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 211/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 212/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 213/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 214/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 215/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 216/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 217/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 218/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 219/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 220/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 221/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 222/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 223/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 224/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 225/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 226/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 227/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 228/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 229/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 230/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 231/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 232/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 233/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 234/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 235/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 236/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 237/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 238/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 239/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 240/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 241/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 242/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 243/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 244/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 245/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 246/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 247/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 248/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 249/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 250/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 251/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 252/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 253/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 254/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 255/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 256/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 257/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 258/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 259/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 260/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 261/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 262/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 263/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 264/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 265/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 266/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 267/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 268/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 269/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 270/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 271/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 272/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 273/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
